nationality,period,people,period_start,period_end,period_type,classification,source_table,note,source_id,source_publication_date,source_url,retrieved_at,review_status
Ethiopia,2022,530,2022-01-01,2022-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Ethiopia,2023,249,2023-01-01,2023-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Ethiopia,2024,508,2024-01-01,2024-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Ethiopia,2025,1745,2025-01-01,2025-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Ethiopia,Year ending June 2025,1228,2024-07-01,2025-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Ethiopia,Year ending June 2026,1364,2025-07-01,2026-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iraq,2018,33,2018-01-01,2018-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iraq,2019,471,2019-01-01,2019-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iraq,2020,1648,2020-01-01,2020-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iraq,2021,6117,2021-01-01,2021-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iraq,2022,4574,2022-01-01,2022-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iraq,2023,2536,2023-01-01,2023-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iraq,2024,2142,2024-01-01,2024-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iraq,2025,1706,2025-01-01,2025-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iraq,Year ending June 2025,1936,2024-07-01,2025-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iraq,Year ending June 2026,1336,2025-07-01,2026-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
